id;application_apartment;customer;apartment_uuid;queue_position;state
1000207;1000207;174;289;;SUBMITTED
1000208;1000208;174;297;;SUBMITTED
1000209;1000209;174;292;1;SOLD
1000210;1000210;174;301;;SUBMITTED
1000211;1000211;124;287;;SUBMITTED
1000212;1000212;124;293;1;SOLD
1000213;1000213;124;295;;SUBMITTED
1000214;1000214;129;291;;SUBMITTED
1000215;1000215;129;294;1;SOLD
1000216;1000216;129;288;;SUBMITTED
1000217;1000217;177;302;;SUBMITTED
1000218;1000218;177;295;1;OFFER ACCEPTED
1000219;1000219;177;293;;SUBMITTED
1000220;1000220;157;304;;SUBMITTED
1000221;1000221;157;300;;SUBMITTED
1000222;1000222;157;296;1;OFFER ACCEPTED
1000223;1000223;123;284;;SUBMITTED
1000224;1000224;123;285;;SUBMITTED
1000225;1000225;123;298;1;OFFER ACCEPTED
1000226;1000226;123;302;;SUBMITTED
1000227;1000227;121;299;1;OFFER ACCEPTED
1000228;1000228;121;298;;SUBMITTED
1000229;1000229;121;303;;SUBMITTED
1000230;1000230;195;306;;SUBMITTED
1000231;1000231;195;304;;SUBMITTED
1000232;1000232;195;300;1;OFFER ACCEPTED
1000233;1000233;197;301;1;OFFER ACCEPTED
1000234;1000234;197;305;;SUBMITTED
1000235;1000235;197;300;;SUBMITTED
1000236;1000236;183;284;;SUBMITTED
1000237;1000237;183;302;1;OFFER ACCEPTED
1000238;1000238;183;303;;SUBMITTED
1000239;1000239;106;303;1;OFFER ACCEPTED
1000240;1000240;169;296;;SUBMITTED
1000241;1000241;169;304;1;OFFER ACCEPTED
1000242;1000242;138;306;1;OFFER ACCEPTED
